id,short_title,long_title,act_number,act_year,enact_date,enforcement_date,jurisdiction,ministry,department,section_count,in_force,unit
durgah-khawaja-saheb-act-1955,"The Durgah khawaja Saheb Act, 1955","An Act to make provision for the proper administration of the Durgah and the Endowment of the Durgah of Khawaja Moin-ud-din Chishti, generally known as Durgah Khawaja Saheb, Ajmer.",36,1955,1955-10-14,1956-03-01,CENTRAL,Ministry of Minority Affairs,,22,1,section
dv-act,"The Protection of Women from Domestic Violence Act, 2005",An Act to provide for more effective protection of the rights of women guaranteed under the Constitution who are victims of violence of any kind occurring within the family and formatters connected therewith or incidental thereto.,43,2005,2005-09-13,2006-10-26,CENTRAL,Ministry of Women and Child Development,,37,1,section
easements-extending-act-5-1882-1891,"The Easements (Extending Act 5 of 1882), 1891","An Act to extend the Indian Easements Act, 1882, to certain areas in which that Act is not in force.",8,1891,1891-03-06,1891-03-06,CENTRAL,Ministry of Law and Justice,Legislative Department,1,1,section
east-punjab-urban-rent-restriction-act-extension-chandigarh,"The East Punjab Urban Rent Restriction Act (Extension to Chandigarh) Act, 1974","An Act to extend the East Punjab Urban Rent Restriction Act, 1949, to the Union territory of Chandigarh.",54,1974,1974-12-20,1974-12-20,CENTRAL,Ministry of Home Affairs,Department of States,4,1,section
economic-offences-inapplicability-limitation-act-1974,"The Economic Offences (Inapplicability of Limitation) Act, 1974","An Act to provide for the inapplicability of the provisions of Chapter XXXVI of the Code of Criminal Procedure, 1973 to certain economic offences.",12,1974,1974-03-27,1974-04-01,CENTRAL,Ministry of Finance,Department of Revenue,2,1,section
egress-internal-movement-control-ordinance-2005-1948-d,"The Egress and Internal Movement (Control) Ordinance, 2005 (1948 A.d.)",An Ordinance to control egress from or movement within the 1Union territory of Jammu and Kashmir of persons for the time being in the 1Union territory of Jammu and Kashmir.,5,2005,2005-07-09,2005-09-12,Jammu and Kashmir,,"Department of Law,Justice and Parliamentary Affairs",24,1,section
election-laws-extension-sikkim-act-1976,"The Election Laws (Extension to Sikkim) Act, 1976","An Act to provide for the extension of the Representation of the People Act, 1950 and the Representation of the People Act, 1951, to the State of Sikkim.",10,1976,1976-01-25,1975-09-09,CENTRAL,Ministry of Law and Justice,Legislative Department,3,1,section
electricity-act-2003,"The Electricity Act, 2003","An Act to consolidate the laws relating to generation, transmission, distribution, trading and use of electricity and generally for taking measures conducive to development of electricity industry, promoting competition therein, protecting interest of consumers and supply of electricity to all areas, rationalisation of electricity tariff, ensuring transparent policies regarding subsidies, promotion of efficient and environmentally benign policies, constitution of Central Electricity Authority, Regulatory Commissions and establishment of Appellate Tribunal and for matters connected therewith or incidental thereto.",36,2003,2003-05-26,2003-06-10,CENTRAL,Ministry of Power,,188,1,section
electricity-act-2003-chandigarh,"The Electricity Act, 2003",,36,2003,2003-05-26,,Chandigarh,,Home (judicial),1,1,section
electricity-act-2003-chandigarh-2003,"The Electricity Act, 2003",,36,2003,2003-05-26,,Chandigarh,,Department of Engineering,5,1,section
emblems-names-prevention-improper-use-act-1950,"The Emblems and Names (Prevention of Improper Use) Act, 1950",An Act to prevent the improper use of certain emblems and names for professional and commercial purposes.,12,1950,1950-03-01,1950-09-01,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,9,1,section
emigration-act-1983,"The Emigration Act, 1983",An Act to consolidate and amend the law relating to emigration of citizens of India.,31,1983,1983-09-10,1983-12-30,CENTRAL,Ministry of External Affairs,,45,1,section
employee-s-workmen-compensation-act-1923,"The Employee's (Workmen) Compensation Act, 1923",,8,1923,1923-03-05,,Chandigarh,,Labour Department,1,1,section
employees-state-insurance-extension-tribal-areas-meghalaya-act,"The Employees State Insurance (Extension to the Tribal Areas of Meghalaya) Act No.2, 1998.","An Act to amend the Employees State Insurance Act, 1948 to the tribal areas of Meghalaya.",2,1999,1999-01-27,,Meghalaya,Meghalaya Law Department,Law Department,4,1,section
employment-manual-scavengers-construction-dry-latrines-prohibition-act,"The Employment of Manual Scavengers and Construction of Dry Latrines (Prohibition) Act, 1993",An Act to provide for the prohibition of employment of manual scavengers as well as construction or continuance of dry latrines and for the regulation of construction and maintenance of water-seal latrines and for matters connected therewith or incidental thereto.,46,1993,1993-06-05,1997-01-26,CENTRAL,Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment,24,1,section
enemy-agents-ordinance-2005-1948-d,"The Enemy Agents Ordinance, 2005 (1948 A.d.)",An Ordinance to provide for the trial punishment of enemy agents and persons committing certain offences with intent to aid the enemy.,8,1948,2005-02-12,2005-02-12,Jammu and Kashmir,,Home,19,1,section
enemy-property-act-1968,"The Enemy Property Act, 1968","An Act to provide for the continued vesting of enemy property vested in the Custodian of Enemy Property for India under the Defence of India Rules, 1962 and the Defence of India Rules, 1971, and for matters connected therewith.",34,1968,1968-08-20,1968-07-10,CENTRAL,Ministry of Home Affairs,Department of Internal Security,33,1,section
energy-conservation-act-2001,"The Energy Conservation Act, 2001",An Act to provide for efficient use of energy and its conservation and for matters connected therewith or incidental thereto.,52,2001,2001-09-29,2012-06-28,CENTRAL,Ministry of Power,,69,1,section
english-foreign-languages-university-act-2006,"The English and Foreign Languages University Act, 2006","An Act to establish and incorporate a teaching University for promotion and development of English and other Foreign Languages and their Literature, and to provide for matters connected therewith or incidental thereto.",7,2007,2007-01-10,2007-08-03,CENTRAL,Ministry of Education,Department of Higher Education,46,1,section
environment-act,"The Environment (Protection) Act, 1986",An Act to provide for the protection and improvement of environment and for matters connected therewith.,29,1986,1986-05-23,1986-11-19,CENTRAL,"Ministry of Environment, Forest and Climate Change",,37,1,section
environment-protection-act-1986-chandigarh,"The Environment (Protection) Act, 1986",,29,1986,1986-05-23,,Chandigarh,,Chandigarh Pollution Control Committee,2,1,section
environment-protection-act-1986-chandigarh-1986-2,"The Environment (Protection) Act, 1986",,29,1986,1986-05-23,,Chandigarh,,Environment,3,1,section
epidemic-diseases-act-1897,"The Epidemic Diseases Act, 1897",An Act to provide for the better prevention of the spread of Dangerous Epidemic Diseases.,3,1897,1897-02-04,1897-02-04,CENTRAL,Ministry of Health and Family Welfare,Department of Health and Family Welfare,12,1,section
epidemic-diseases-act-1897-chandigarh-1897,"Epidemic Diseases Act, 1897",,3,1897,1897-02-04,,Chandigarh,,Government Medical College Hospital Sector 16,1,1,section
epidemic-diseases-act-1897-puducherry,"The Epidemic Diseases Act, 1897",,3,1897,1897-02-04,,Puducherry,,LAW DEPARTMENT,1,1,section
equal-remuneration-act-1976-chandigarh,"The Equal Remuneration Act, 1976",,25,1976,1976-02-11,,Chandigarh,,Labour Department,1,1,section
eradication-unfair-activities-at-pandharpur-temples-providing-better,"The Eradication of Unfair Activities at Pandharpur Temples (for providing better facilities for worship) Act, 1980.",,11,1980,1980-07-19,,Maharashtra,Govt of Maharashtra,Law and Judiciary Department,9,1,section
essential-commodities-act-1955,"The Essential Commodities Act, 1955","An Act to provide, in the interest of the general public, for the control of the production, supply and distribution of, and trade and commerce, in certain commodities.",10,1955,1955-04-01,1955-04-01,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,29,1,section
essential-commodities-act-1955-chandigarh,"The Essential Commodities Act, 1955",,10,1955,1955-04-01,,Chandigarh,,Food & Supply,1,1,section
essential-services-maintenance-assam-act-1980,"The Essential Services Maintenance (Assam) Act, 1980",An Act to provide for the maintenance of certain essential services and the normal life of the community in Assam.,41,1980,1980-07-19,1980-07-19,CENTRAL,Ministry of Home Affairs,Department of States,11,1,section
expenditure-tax-act-1987,"The Expenditure-tax Act, 1987",An Act to provide for the levy of a tax on expenditure incurred in certain hotels or restaurants and for matters connected therewith or incidental thereto.,35,1987,1987-09-14,1987-11-01,CENTRAL,Ministry of Finance,Department of Revenue,33,1,section
expiring-laws-continuance-act-1948,"Expiring Laws Continuance Act, 1948",,13,1948,1948-04-01,,Uttar Pradesh,,Vidhai,2,1,section
explosive-substances-act-1908,"The Explosive Substances Act, 1908",An Act farther to amend the law relating to explosive substances.,6,1908,1908-06-08,1908-06-08,CENTRAL,Ministry of Home Affairs,Department of Internal Security,7,1,section
explosives-act-1884,"The Explosives Act, 1884","An Act to regulate the manufacture, possession, use, sale,transport, import and export of explosives.",4,1884,1884-02-26,1887-07-01,CENTRAL,Ministry of Commerce and Industry,Department of Promotion of Industry and Internal Trade,29,1,section
