kind,title,year,jurisdiction,ministry,act,act_title
notification,"Amendment in the provisions of the Haryana Alternate Tax Compliance Scheme for Contractors,2016.",2017,Haryana,,,
notification,"Amendment of Haryana Private Universities Act, 2012",2012,Haryana,,,
notification,"Amendment of Haryana Private Universities Act, 2019",2019,Haryana,,,
notification,"Amendments in the Environment Impact Assessment notification, 2006 issued vide no. S.O. 1533 (E), dated the 14th September,2006, dated 01.12.2009",2009,Haryana,,environment-act,"The Environment (Protection) Act, 1986"
notification,"Ammendment in the schedule to the Haryana Agricultural Produce Markets Act, 1961 English",2023,Haryana,,,
notification,"Ammendment in the schedule to the Haryana Agricultural Produce Markets Act, 1961 Hindi",2023,Haryana,,,
notification,"Ammendment in the schedule to the Haryana Agricultural Produce Markets Act, 1961 Hindi & English",2023,Haryana,,,
notification,Antyodaya Aahaar Yojna to Distribute the Mustard Oil,2022,Haryana,,,
notification,Antyodaya Aahaar Yojna to Distribute the Sugar,2021,Haryana,,,
notification,Appointment Chairman of Haryana Gau Seva Aayog 21.08.2020,2020,Haryana,,,
notification,Appointment of Additional DCs for the purposes of Sub-section (1) of section 6,2023,Haryana,,,
notification,Appointment of Chairman 17.08.2023,2023,Haryana,,,
notification,Appointment of Chairman HLDB 17.03.2005,2005,Haryana,,,
notification,Appointment of Chairman HLDB 18.05.2001,2001,Haryana,,,
notification,Appointment of Chief Inspector and Inspectors of Lifts & Escalators,2009,Haryana,,,
notification,Appointment of Non Official Members 17-06-2022,2022,Haryana,,,
notification,Appointment of Non Official Members 19-02-2018,2018,Haryana,,,
notification,Appointment of Non official members 19-11-2015,2015,Haryana,,,
notification,"Appointment of Sh. Narender Hooda, Scientist B as Board Analyst for the purpose of analysis of samples of Air Pollution/Emission",2022,Haryana,,air-prevention-control-pollution-act-1981,"The Air (Prevention and Control of Pollution) Act, 1981"
notification,"Appointment of Sh. Narender Hooda, Scientist B as Board Analyst for the purpose of analysis of samples of Water or of the sewage or trade effluent",2022,Haryana,,water-prevention-control-pollution-act-1974,"The Water (Prevention and Control of Pollution) Act, 1974"
notification,"Appointment of Smt. Neeraj Bala, Scientist B as Board Analyst for the purpose of analysis of samples of Air Pollution/Emission",2022,Haryana,,,
notification,"Appointment of Smt. Neeraj Bala, Scientist B as Board Analyst for the purpose of analysis of samples of Water or of the sewage or trade effluent",2022,Haryana,,,
notification,Appoints the Additional Excise & Taxation Commissioners & others of the GST Act (Hindi & English ).,2017,Haryana,,,
notification,"Appoints the Excise and Taxation Commissioner, Haryana to be the Commissioner of State tax of the GST Act",2018,Haryana,,,
notification,Appoints the Taxation Inspectors of the GST Act,2017,Haryana,,,
notification,Aravali Notification dated 07.05.1992,1992,Haryana,,,
notification,Authorization of officers as Competent Officer 01.07.2011,2011,Haryana,,prevention-control-infectious-contagious-diseases-animals-act-2009,"The Prevention and Control of Infectious and Contagious Diseases in Animals Act, 2009"
notification,Ban on Plastic dated 9/12.01.2009,2009,Haryana,,,
notification,"Bill No. 05- HLA of 2019 THE PUNJAB LAND PRESERVATION (HARYANA AMENDMENT) BILL, 2019",2019,Haryana,,,
notification,"Bir Bara Ban Jind Conservation Reserve Notification dt. 11 Oct., 2007",2007,Haryana,,,
notification,"Bir Shikargah Wildlife Sanctuary Notification dt. 9 May, 1987",1987,Haryana,,,
notification,Bovine Breeding Policy 2018,2018,Haryana,,,
notification,Change in upper financial limits to facilitate early refunds to the dealers Click here to view(English) | (Hindi),2013,Haryana,,,
notification,"Chhilchhila Wildlife Sanctuary Notification dt. 28 Nov., 1986",1986,Haryana,,,
notification,"Committee under Noise Pollution (Regulation and Control) Rules, 2000 consisting of Sub-Divisional Magistrate, Deputy Superintendent of Police and Regional Officer, HSPCB in their respective area of jurisdiction dated 05.09.2003",2003,Haryana,,,
notification,"Constitution of Advisory committee for the Implementation of Bio-Medical Waste (Management & Handling) Rules, 1998 dated 23.07.1999",1999,Haryana,,,
notification,"Constitution of Animal Breeding Regulatory Authority under Section 5(1) of Haryana (Registration, Certification and Breeding) Act, 2019",2023,Haryana,,,
notification,"Constitution of Animal Certification Authority for certification of Animals under section 4(1) of Haryana Animal (Registration, Certification and Breeding) Act, 2019",2023,Haryana,,,
notification,"Constitution of Animal Certification Authority for implementation of Haryana Animal (Registration, Certification and Breeding) Act, 2019 under section 4(1)",2019,Haryana,,,
notification,"Constitution of Animal Registration Authority Committee for implementation of Haryana Animal (Registration Certification and Breeding) Act, 2019",2019,Haryana,,,
notification,"Constitution of Animal Registration Authority for registration of Animals under section 3(1) of Haryana Animal (Registration, Certification and Breeding) Act, 2019",2023,Haryana,,,
notification,Constitution of HLDB 12/13-01-2000,2000,Haryana,,,
notification,Constitution of HSAWB 20.02.2009,2009,Haryana,,,
notification,Constitution of HSCSC-26.12.2022 eng,2022,Haryana,,,
notification,"Constitution of SEIAA and SEAC, Haryana",2021,Haryana,,,
notification,"Constitution of State Animal Welfare Board, Haryana 2022",2022,Haryana,,,
notification,"Constitution of State Animal Welfare Board, Haryana for 2018-2020",2018,Haryana,,,
notification,"Constitution of State Animal Welfare Board, Haryana from 2015-2017",2015,Haryana,,,
notification,"Constitution of State Environment Impact Assessment Authority, Haryana dated 14.09.2006",2006,Haryana,,,
notification,Constitution of State Level Authority namely Wetland Authority of Haryana,2017,Haryana,,,
notification,Constitution of State Level Water Quality Review Committee (WQRC) dated 01.05.2002,2002,Haryana,,,
notification,Constitution of a Sub-Committee of the following Ministers for hearing the Poultry Farm Associations,2025,Haryana,,,
notification,Constitution of the State Level Committees under the Chairmanship of Chief Secretary to Government Haryana for reviewing the progress of implementation of action plans of Faridabad and Panipat Towns dated 30.12.2011,2011,Haryana,,,
notification,Cotton Seed Notification (English),2023,Haryana,,,
notification,Date for the purpose of Sub-Section(2) of section 1,2010,Haryana,,,
notification,Dates of election,2016,Haryana,,,
notification,Debate and Seminar Notification 2008,2008,Haryana,,,
notification,Debate and Seminar Notification 2009,2009,Haryana,,,
notification,"Deletion and Publication of the list of defaulters, whose names have been removed from the Haryana State Veterinary Practitioner Register (HSVPR)",2019,Haryana,,,
notification,"Directions for stone crushing units in regard to siting criteria norms as per Schedule I, emission norms and pollution control measures requirement as per Schedule II, identification of zones and availability of sites as per Schedule III and procedure for establishment and operation in identified zones as per Schedule IV",2022,Haryana,,environment-act,"The Environment (Protection) Act, 1986"
notification,"Directions for stone crushing units in regard to siting criteria norms as per Schedule I, emission norms and pollution control measures requirement as per Schedule II, identification of zones and availability of sites as per Schedule III and procedure for establishment and operation in identified zones as per Schedule IV",2022,Haryana,,environment-act,"The Environment (Protection) Act, 1986"
notification,District Crises Group to be the apex body in the Mewat District to deal with major chemical accidents and to provide expert guidance for handling chemical accidents dated 09.04.2012,2012,Haryana,,,
notification,District Crisis Group to be the apex body in Jhajjar District to deal with major chemical accidents dated 04.05.2001,2001,Haryana,,,
notification,District Crisis Group to be the apex body in the Palwal District to deal with major chemical accidents and to provide expert guidance for handling chemical accidents dated 02.05.2011,2011,Haryana,,,
notification,"District Level Committee under Section 72 of RPwD Act, 2016",2019,Haryana,,,
notification,Draft Electoral Roll 28.04.1999,1999,Haryana,,,
notification,ED Exemption,2018,Haryana,,,
notification,EX-DISTILLERY ISSUE PRICE,2019,Haryana,,,
notification,Election Notice 04.01.2008,2008,Haryana,,,
notification,Electoral Roll 24.12.2021,2021,Haryana,,,
notification,Energy Conservation Building Code,2016,Haryana,,,
notification,Environment Department as Competent State Authority to accord approval for suitability of site from environmental angle for following 20 types of highly polluting large and medium industrial units dated 21.11.1997,1997,Haryana,,,
notification,Establishment of Haryana Gau Seva Aayog 25.01.2013,2013,Haryana,,,
notification,Establishment of Haryana State Biodiversity Board dated 14.11.2006,2006,Haryana,,,
notification,Establishment of Pet Animal Health Society Haryana,2009,Haryana,,,
notification,Establishment of SPCAs 03-03-2023,2023,Haryana,,,
notification,Establishment of Special Environment Courts,2015,Haryana,,,
notification,"Ex post facto sanction for the constitution of State Environment Protection Council, Haryana w.e.f. 08.06.2002 dated 2003.10.28",2003,Haryana,,,
notification,Ex-Distillery Issue Price 2024,2024,Haryana,,,
notification,Exemption from Levy of VAT on Bio-Diesel in the State,2017,Haryana,,,
notification,Exemption from Levy of VAT on Solar Devices.,2017,Haryana,,,
notification,Exemption levy of VAT on Sale of Technetium 99M Generators used in diagnosis of cancer,2016,Haryana,,,
notification,Exemption of Excise Duty.( English).,2019,Haryana,,,
notification,Expert Committee to appraise and recommend the mining projects fo major minerals having area of 5 hectares or less dated 20.11.2001,2001,Haryana,,,
notification,Expert Committee to set up specific area for Aravalli Hills dated 06.11.2001,2001,Haryana,,,
notification,Final Draft Electoral Roll,2016,Haryana,,,
notification,Fruits and vegetables Notification (English),2025,Haryana,,,
notification,"Golden Jubilee Braham Sarovar Community Reserve Notification dt. 19 July, 2017",2017,Haryana,,,
notification,"Gurugram University Act (Ammendment),2019",2019,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 14TH February, 2019",2019,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 14TH JAN, 2019",2019,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 14th March, 1975",1975,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 15th February, 1973",1973,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 16TH November, 2010",2010,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 18TH August, 2006",2006,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 23rd July, 2018",2018,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 24TH April, 2018",2018,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 25th July, 1975",1975,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 26TH July, 2006",2006,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 27TH March, 2018",2018,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 27th September, 1972",1972,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 30TH November, 2018",2018,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 3rd May, 1974",1974,Haryana,,,
notification,"HARYANA GOVERNMENT HOUSING DEPARTMENT NOTIFICATION The 5TH February, 2019",2019,Haryana,,,
notification,"HARYANA GOVERNMENT POWER DEPARTMENT NOTIFICATION 26th May, 1995",1995,Haryana,,,
notification,"HARYANA GOVERNMENT POWER DEPARTMENT NOTIFICATION 30th July, 1992",1992,Haryana,,,
notification,"HARYANA GOVERNMENT POWER DEPARTMENT Notification 16th September, 2008",2008,Haryana,,,
notification,"HARYANA GOVERNMENT POWER DEPARTMENT Notification The 19th December, 2019",2019,Haryana,,,
notification,"HARYANA GOVERNMENT POWER DEPARTMENT Notification The 27th January, 2020",2020,Haryana,,,
notification,"HARYANA GOVERNMENT POWER DEPARTMENT Notification The 9th November, 2006",2006,Haryana,,,
notification,HARYANA GOVT. GAZ. (EXTRA) 11/02/1970,1970,Haryana,,,
notification,"HARYANA GOVT. GAZ. (EXTRA) 17/11/1997, 28/11/1997, 15/06/2004, 18/04/2007",2007,Haryana,,,
notification,HARYANA GOVT. IRRIGATION AND POWER DEPARTMENT NOTIFICATION 15.01.1996,1996,Haryana,,,
notification,Haryana Agricultural Produce Markets (General) Ammendment Rules 2022 English,2022,Haryana,,,
notification,Haryana Agricultural Produce Markets (General) Ammendment Rules 2022 Hindi,2022,Haryana,,,
notification,Haryana Agricultural Produce Markets (General) Ammendment Rules 2023 English,2023,Haryana,,,
notification,Haryana Agricultural Produce Markets (General) Ammendment Rules 2023 Hindi,2023,Haryana,,,
notification,"Haryana Air (Prevention and Control of Pollution) Amendment Rules, 2022",2022,Haryana,,,
notification,"Haryana Cotton Ginning and Pressing Factories Act, 1992",2005,Haryana,,,
notification,"Haryana Environment Department (Group A) Service Rules, 1999 dated 26.05.1999",1999,Haryana,,,
notification,"Haryana Environment Department (Group C) Service Rules, 1998 dated 24.04.1998",1998,Haryana,,,
notification,"Haryana Environment Department (Group D) Service Rules, 1998 dated 17.04.1998",1998,Haryana,,,
notification,"Haryana Ex-distillery Issue Price (Amendment), 2023",2023,Haryana,,,
notification,"Haryana Excise (Amendment) Rules, 2019",2024,Haryana,,,
notification,Haryana Government Forest and Wildlife Department Notification 14-03-2018,2018,Haryana,,,
notification,"Haryana Govt. Gaza. June 18, 1996, Notification",1996,Haryana,,,
notification,"Haryana Liquor License ( Second Amendment) Rules, 2018",2018,Haryana,,,
notification,"Haryana Liquor License (Amendment) Rules, 2019",2019,Haryana,,,
notification,"Haryana Liquor License (Amendment) Rules, 2022",2022,Haryana,,,
notification,"Haryana Liquor License (Amendment) Rules, 2024",2024,Haryana,,,
notification,Haryana Paryavaran Conservation and Leadership Awards,2018,Haryana,,,
notification,"Haryana Prevention of Unlawful Conversion of Religion Act, 2022 (16 of 2022)",2022,Haryana,,,
notification,"Haryana Provision of Sports Equipment Scheme, 2023",2023,Haryana,,,
notification,"Haryana Provision of Sports Equipment Scheme, 2024",2024,Haryana,,,
notification,"Haryana Restaurant (Consumption of Liquor) Amendment Rules, 2020",2020,Haryana,,,
notification,"Haryana Restaurant (Consumption of Liquor) Amendment Rules, 2024",2024,Haryana,,,
notification,"Haryana Restaurant (Consumption of Liquor) Rules, 1988.(English).",2019,Haryana,,,
notification,"Haryana Sports & Physical Fitness Policy, 2017",2017,Haryana,,,
notification,"Haryana Sports Academy,2022",2022,Haryana,,,
notification,Haryana Sports and Physical Fitness Authority,2016,Haryana,,,
notification,"Haryana Staff Selection Commission process of Recruitment Group C and D posts) Rules, 2025",2025,Haryana,,,
notification,"Haryana State Agricultural Marketing Board hereby further reduces the levy of market fee from 2 to 0.8 on an ad-valorem basis on item number 17 of agricultural produce Cotton (Ginned and Unginned) (Kapas and Rui) of the Schedule of the Haryana Agricultural Produce Markets Act, 1961",2015,Haryana,,,
notification,"Haryana State Agricultural Marketing Board hereby imposes the levy of 1 Market fee on ad-valorem basis with immediate effect on all fruit and vegetable products, i.e., horticultural produce of the Schedule of the Haryana Agricultural Produce Markets Act, 1961 (English)",2020,Haryana,,,
notification,Haryana State Agricultural Marketing Board hereby reduces the levy of market fee from 2 to 0.5 on an ad-valorem basis (English),2020,Haryana,,,
notification,"Haryana State Agricultural Marketing Board hereby reduces the levy of market fee from 2 to 0.8 on an ad-valoram basis on item number 17 of agricultural produce Cotton (Ginned and Unginned) (Kapas and Rui) of the Schedule of the Haryana Agricultural Produce Markets Act, 1961 (English)",2019,Haryana,,,
notification,"Haryana State Pollution Control Board (Group A, B, C and D) Service (Amendment) Regulations, 2023",2023,Haryana,,,
notification,"Haryana State Pollution Control Board (Group A, B, C and D) Service (Amendment) Regulations, 2023",2023,Haryana,,,
notification,"Haryana State Pollution Control Board (Group A, B, C and D) Service (Amendment) Regulations, 2023",2023,Haryana,,,
notification,"Haryana State Pollution Control Board (Group A, B, C and D) Service (Amendment) Regulations, 2023",2023,Haryana,,,
notification,"Haryana Water (Prevention and Control of Pollution) Amendment Rules, 2022",2022,Haryana,,,
notification,"Haryana state legal services Authority rules,1996",1997,Haryana,,legal-services-authorities-act-1987,"The Legal Services Authorities Act, 1987"
notification,"Haryana state legal services Authority rules,1996",1997,Haryana,,legal-services-authorities-act-1987,"The Legal Services Authorities Act, 1987"
notification,"High Support Need for Disabled under Section 38(1) of RPwD Act, 2016",2020,Haryana,,rights-persons-with-disabilities-act-2016,"The Rights of Persons with Disabilities Act, 2016."
notification,"INCENTIVES TO SPORTS PERSONS - CASH AWARD, 05.09.2019",2019,Haryana,,,
notification,"INCENTIVES TO SPORTS PERSONS - CASH AWARD, 12.04.2022",2022,Haryana,,,
notification,"INCENTIVES TO SPORTS PERSONS - CASH AWARD, 27.12.2018",2018,Haryana,,,
notification,"INCENTIVES TO SPORTS PERSONS - CASH AWARD, 7.9.2018",2018,Haryana,,,
notification,Increasing VAT rate on Diesel. Click here to view (English) / (Hindi),2014,Haryana,,,
notification,"Indian Forest (Haryana Amendment) Act, 1973 Act 12 of 1973",1973,Haryana,,,
notification,"Indian Forest (Haryana Second Amendment) Act, 1973 Act 12 of 1973",1973,Haryana,,,
notification,"Inspecting Officer, Assessing Officer and Compounding Officer under under Sections 126, 135 & 152 Electrcity Act 2003",2003,Haryana,,electricity-act-2003,"The Electricity Act, 2003"
notification,"Inter-Department Committee under Section 20 and 34 of RPwD Act, 2016",2025,Haryana,,,
notification,Issuance of License for Manufacture and sale of Bricks ( After depositing of License Fee and Security Money as prescribed in the Control Order),2022,Haryana,,,
notification,Issuance of License of Dealer,2022,Haryana,,,
notification,Issuance of License of Manufacturer,2022,Haryana,,,
notification,Issuance of License of Repairer,2022,Haryana,,,
notification,Kalesar National Park Notification dt. 8 Dec. 2003,2003,Haryana,,,
notification,Kalesar Wildlife Sanctuary Notification dt. 13 Jan. 2000,2000,Haryana,,,
notification,"Khaparwas Wildlife Sanctuary Notification dt. 27 March, 1991",1991,Haryana,,,
notification,"Khol-Hi-Raitan Wildlife Sanctuary Notification dt. 10 Dec., 2004",2004,Haryana,,,
notification,"Khol-Hi-Raitan Wildlife Sanctuary Notification dt. 7 September, 2007",2007,Haryana,,,
notification,Legal Aid,1961,Haryana,,,
notification,Levy of VAT on sales of Bidis Click here to view(English) | (Hindi),2013,Haryana,,,
notification,Mandatory Energy Audit,2016,Haryana,,,
notification,Mandatory Installation of Solar Power Plant,2017,Haryana,,,
notification,Mandatory Use of LED Lights,2017,Haryana,,,
notification,Mandi Labour Charges of the different market functionaries of Haryana,2024,Haryana,,,
notification,Mandi Labour Charges of the different market functionaries of Haryana w.e.f. 01.10.2024 (To be substituted with same number and date),2024,Haryana,,,
notification,Member of Haryana State Biodiversity Board dated 27.11.2013,2013,Haryana,,,
notification,Miklha Singh Adventure Sports Club,2021,Haryana,,,
notification,Monitoring Committee regarding mining operations for all districts except Gurugram to monitor compliance of conditions while according Environment Clearance dated 20.11.2001,2001,Haryana,,,
notification,Monitoring Committee to monitor compliance of the conditions stipulated while according the Environment Clearance by State Government dated 06.11.2001,2001,Haryana,,,
notification,Motor Vehicles Tax exemption in respect of Electric Vehicle,2022,Haryana,,,
notification,NO. 1297-R-11-95/16933,1995,Haryana,,,
notification,"NO. S.O. 12/C.A. 16/1927/IS, 32/2023",2023,Haryana,,indian-forest-act-1927,"The Indian Forest Act, 1927"
notification,NO. S.O. 123 /C.A.16/1927/S.29/2001,2001,Haryana,,,
notification,"NOTIFICATIONS BY HIGH COURT, ADVERTISEMENT, NOTICES AND CHANGE OF NAME ETC.",2017,Haryana,,,
notification,"Nahar Wildlife Sanctuary Notification dt. 30 Jan., 1987",1987,Haryana,,,
notification,New Nursing Policy for Establishment of Private/ Self Financing Nursing Institute in the State 12.07.2023,2013,Haryana,,,
notification,No 72 ST-2 Amendment in Notification No. 35ST-2 dated 30.06.2017 regarding tractors parts Schedule III 9,2017,Haryana,,,
notification,"No 73 ST-2 Amendment Notification by Commissioner of State Tax under rule 61(5) of the HGST Rules,2017 specifying class of registered persons, conditions and date of filling GSTR-3B",2017,Haryana,,,
notification,"No 74 ST-2 AMENDMENT IN NOTIFICATION NO.46-ST-2 DATED 30.6.2017 IN RATE OF TAX ON SERVICES UNDER SECTION 9(1), 11(1), 15(5) AND 16(1) OF HGST ACT, 2017",2017,Haryana,,,
notification,No 75 ST-2 Amendment in Notification NO.47ST-2 dated 30.06.2017 regarding exemption in rate of tax on services under Section 11(1),2017,Haryana,,,
notification,No 76 ST-2 Amendment in Notification No.48ST-2 dated 30.06.2017 under Section 9(3) of the HGST Act regarding reverse charge on services (Hindi & English).,2017,Haryana,,,
notification,"No 77 ST-2 Amendment in Notification No.52ST-2 dated 30.06.2017 regarding tax by electronic commerce operator under Section 9(5) of HGST Act, 2017 (Hindi & English).",2017,Haryana,,,
notification,No 78 ST-2 Amendment in Notification No.73ST-2 dated 18.08.2017 regarding extension of time limit for GSTR-3B and payment of tax under Rule 61(5) (Hindi & English).,2017,Haryana,,,
notification,No S.O.138/C.A.16/27/S.20/74,1974,Haryana,,indian-forest-act-1927,"The Indian Forest Act, 1927"
notification,"No. 01 ST 2 Amendment in Notification No. 34 ST 2 dated 30.06.2017 regarding composite scheme under section 10(1) of the HGST Act,2017",2018,Haryana,,,
notification,"No. 01/GST 2 Removal of difficulty order under section 172 of HGST Act, 2017 regarding extension of due date for filing of Annual return (in FORMs GSTR-9, GSTR-9A and GSTR-9C) for FY 2017-18 till 31st March, 2019",2019,Haryana,,,
notification,"No. 01/GST-2 Amendment of notification no.43/GST-2, dated 07.05.2020 to extend the due dates for compliances and actions in respect of anti-profiteering measures under GST till 31.03.2021 under the HGST Act, 2017.",2021,Haryana,,,
notification,"No. 01/GST-2 Regarding notification for bringing into effect the provisions of HGST (Amendment) Act, 2019 under the HGST Act, 2017.",2020,Haryana,,,
notification,"No. 02 ST 2 Notification for extending the due date for quarterly furnishing of FORM-GSTR1 under the HGST Act,2017 for taxpayers with aggregate turnover up to Rs. 1.5 Crore",2018,Haryana,,,
notification,"No. 02/GST 2Removal of difficulty order under section 172 of HGST Act, 2017 to extend the due date for availing ITC on the invoices or debit notes relating to such invoices issued during the FY 2017-18.",2019,Haryana,,,
notification,"No. 02/GST-2 Notification to bring into force provisions of HGST (Amendment) Act, 2020 (25 of 2020) under the HGST Act, 2017",2021,Haryana,,,
notification,"No. 03 ST 2 Notification for waiver of the late fee payable for failure to furnish the return in FORM GSTR-4 under the HGST Act, 2017 (Hindi & English).",2018,Haryana,,,
notification,"No. 03/GST 2 Removal of difficulty order under section 172 of HGST Act, 2017 to extend the due date for furnishing the statement in FORM GSTR-8 by e-commerce companies for the months of October to December, 2018 till 31.01.2019",2019,Haryana,,,
notification,"No. 03/GST-2 Notification to extend the last date for filing of FORM GSTR-3B for the month of November, 2019 by three days from 20.12.2019 till 23.12.2019 under the HGST Act, 2017.",2020,Haryana,,,
notification,"No. 04 ST 2 Notification regarding the date from which E-Way Bill Rules shall come into force under the HGST Rules, 2017",2018,Haryana,,,
notification,"No. 04/GST 2 Corrigendum in Haryana Government, Excise and Taxation Department, Notification no.82/GST-2, dated 11.09.2018 (English Only).",2019,Haryana,,,
notification,"No. 04/GST-2 Notification to waive late fees for non- filing of FORM -1 from July, 2017 to NovemGSTRber 2019 under the HGST Act, 2017",2020,Haryana,,,
notification,"No. 05/GST 2 Notification to extend the time period specified in notification No. 73/GST-2, dated 06.08.2018 for availing the special procedure for completing migration of taxpayers who received provisional IDs but could not complete the migration process under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 05/GST-2 Amendment of notification No. 112/ST-2, dated 18.10.2017 to appoint Ms. Rachna Singh, Joint Commissioner of CGST, Panchkula as member of HAAR under HGST Act, 2017",2021,Haryana,,,
notification,"No. 06 ST 2 Notification for amendment in Notification No. 39/ST-2, dated 30.06.2017 under the HGST Act, 2017",2018,Haryana,,,
notification,"No. 06/GST 2 Notification to extend the time limit for furnishing the return in FORM GSTR-3B for the newly migrated taxpayers under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 06/GST-2 Removal of Difficulty Order under section 172 to extend the last date for furnishing of annual return/reconciliation statement in FORM GSTR-9/FORM GSTR-9C for FY 2017-18 till 31st January, 2020 under the HGST Act, 2017",2020,Haryana,,,
notification,"No. 06/ST-1/H.A.6/2003/S.59/2021 Notification to extend timelines under the Haryana Value Added Tax Act, 2003, section 18A",2021,Haryana,,,
notification,"No. 07 ST 2 Notification for amendment in Notification No. 46/ST-2, dated 30.06.2017 under the HGST Act, 2017",2018,Haryana,,,
notification,"No. 07/GST 2 Notification to extend the time limit for furnishing the return in FORM GSTR-3B for the newly migrated taxpayers under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 07/ST-1/H.A.6/2003/S.59/2021 Notification to extend timelines under the Haryana Goods and Services Act, 2017, Section 174 (2)",2021,Haryana,,,
notification,"No. 08 ST 2 Notification regarding amendment in Notification No.47/ST-2, dated 30.06.2017 under the HGST Act, 2017",2018,Haryana,,,
notification,"No. 08/GST 2 Notification to extend the time limit for furnishing the return in FORM GSTR-3B for the newly migrated taxpayers under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 08/GST-2 Notification to extend the one-time amnesty scheme to file all FORM GSTR-1 from July 2017 to November 2019 till 17th January, 2020 under the HGST Act, 2017",2020,Haryana,,,
notification,"No. 08/GST-2 Notification under section 25(D) to notify persons to whom provisions of sub-section (6B) or sub-section (6C) of section 25 of HGST Act will not apply under the HGST Act, 2017",2021,Haryana,,,
notification,"No. 09 ST 2 Notification regarding amendment in Notification No. 48/ST-2, dated 30.06.2017 under the HGST Act, 2017",2018,Haryana,,,
notification,"No. 09/GST 2 Notification to extend the time limit for furnishing the details of outward supplies in FORM GSTR-1 for the newly migrated taxpayers under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 09/GST-2 Notification from rescinding the Haryana Government, Excise and Taxation Department, notification no. 30/ST-2 dated 30.06.2017 under the HGST Act, 2017",2021,Haryana,,,
notification,"No. 10/GST 2 Notification to exempt supplies made by Government Departments and PSUs to other Government Departments and vice-versa from TDS under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 10/GST-2 Amendment of notification no.17/GST-2, dated 31.03.2020 (to implement e-invoicing for the taxpayers having aggregate turnover exceeding Rs.50 Cr. from 01st April, 2021) under the HGST Act, 2017",2021,Haryana,,,
notification,"No. 100 ST 2 Amendment in Notification No. 35 ST 2 dated 30.06.2017 under section 9(1) regarding rate of tax on Goods in HGST Act,2017",2017,Haryana,,,
notification,"No. 100/ GST-2 Notification to extend the last date for filing of FORM GST CMP-08 for the quarter July-September 2019 by four days from 18.10.2019 till 22.10.2019 under the HGST Act, 2017",2019,Haryana,,,
notification,"No. 100/GST-2 Notification to exempt supply from PSU to PSU from applicability of provisions relating to TDS under HGST Act, 2017",2018,Haryana,,,
notification,"No. 100/GST-2 Notification to implement e-invoicing for the taxpayers having aggregate turnover exceeding Rs. 100 Cr from 01st January 2021 by amending notification no.17/GST-2, dated the 31st March, 2020 under the HGST Act, 2017",2020,Haryana,,,
notification,"No. 101 ST 2 Notification regarding 65 of the State Tax to be levied on motor vehicles entry 87, notification issued under section 9(1) of the HGST Act, 2017",2017,Haryana,,,
notification,"No. 101/GST-2 Corrigendum in Haryana Government, Excise and Taxation Department, Notification No. 99/GST-2, dated 06.11.2018",2018,Haryana,,,
notification,"No. 102 ST 2 Amendment in Notification No. 34 ST 2 dated 30.06.2017 regarding composite scheme under section 10(1) of the HGST Act,2017",2017,Haryana,,,
notification,"No. 102/GST-2 Removal of Difficulty Order under section 172 to extend the last date for furnishing of annual return/reconciliation statement in FORM GSTR-9/ FORM GSTR-9C for FY 2017-18 till 31st December, 2019 and for FY 2018-19 till 31st March, 2020 under the HGST Act, 2017",2019,Haryana,,,
notification,No. 102/ST-1 Notification regarding amendment in VAT rates on Diesel and Petrol to levy minimum fixed rate of tax.(Hindi & English).,2018,Haryana,,,
notification,"No. 103 ST 2 Amendment in Notification No. 38 ST 2 dated 30.06.2017 regarding impounded/used goods under section 9(3) of the HGST Act,2017",2017,Haryana,,,
notification,"No. 103/GST-2 Notification regarding amendment of notification No. 35/ST-2, dated 30.06.2017 under HGST Act, 2017.",2018,Haryana,,,
